POC code,NZTM easting,NZTM northing
ABY0111,1424393.0,5097839.0
AKL0331,1762701.0,5907699.0
ALB0331,1750900.0,5932739.0
ALB1101,1750900.0,5932739.0
ANI0331,1931640.0,5754616.0
APC0011,1763934.0,5912461.0
APS0111,1483252.0,5243850.0
ARA2201,1873657.0,5721160.0
ARG1101,1616836.0,5386748.0
ARI1101,1831834.0,5782895.0
ARI1102,1831834.0,5782895.0
ASB0661,1503869.0,5133912.0
ASC0011,1560557.0,5179492.0
ASY0111,1569376.0,5209966.0
ATI0111,1863994.0,5746271.0
ATI0112,1863994.0,5746271.0
ATI2201,1863994.0,5746271.0
AVI2201,1390245.0,5051586.0
BAL0331,1350995.0,4875583.0
BDE0111,1279332.0,4872602.0
BEN2202,1377144.0,5061473.0
BLF0111,1243437.0,4828858.0
BLN0331,1677834.0,5405491.0
BOB0331,1777529.0,5882323.0
BOB1101,1777529.0,5882323.0
BPD1101,1443269.0,5026059.0
BPE0331,1824481.0,5537751.0
BPE0551,1824481.0,5537751.0
BPT1101,1426242.0,5027113.0
BRB0331,1733637.0,6031785.0
BRI0111,1747953.0,5916477.0
BRK0331,1775377.0,5584683.0
BRY0661,1575606.0,5180019.0
BSC0011,1883469.0,5825061.0
BTC0011,1769812.0,5911645.0
BWK1101,1375377.0,4908483.0
CBG0111,1818482.0,5805623.0
CGP0011,1747427.0,5431039.0
CGT0011,1748889.0,5428387.0
CIA0041,1560557.0,5179492.0
CIA0111,1560557.0,5179492.0
CIA0112,1560557.0,5179492.0
CLH0111,1496821.0,5214719.0
CML0331,1300162.0,5003362.0
CNL0011,1748666.0,5428451.0
COL0111,1480658.0,5197735.0
COL0661,1480658.0,5197735.0
CPK0111,1748143.0,5426364.0
CPK0331,1748143.0,5426364.0
CPP0111,1761811.0,5914199.0
CRN0011,1753096.0,5933494.0
CSE0011,1748892.0,5427754.0
CST0331,1694035.0,5673649.0
CUL0331,1589865.0,5270422.0
CUL0661,1589865.0,5270422.0
CYD0331,1309790.0,4990370.0
CYD2201,1309790.0,4990370.0
DOB0331,1460289.0,5298504.0
DSH0011,1560557.0,5179492.0
DSO0011,1761811.0,5914199.0
DST0011,1753099.0,5439298.0
DVK0111,1858007.0,5546737.0
EDG0331,1936285.0,5788677.0
EDN0331,1274954.0,4862680.0
EKV0011,1673593.0,6082724.0
ELL0111,1243620.0,4848023.0
EMA0011,1748141.0,5426366.0
EMB0011,1748141.0,5426366.0
EMT0011,1748523.0,5428061.0
EMV0011,1754041.0,5935619.0
ENB0011,1747427.0,5431039.0
EPC0011,1753664.0,5945618.0
ERF0011,1748890.0,5425272.0
ESC0011,1575606.0,5180021.0
ESG0011,1749355.0,5429178.0
ETC0011,1748632.0,5427896.0
ETT0011,1748141.0,5426366.0
EVA0011,1747427.0,5431039.0
FHL0331,1923084.0,5609947.0
FKN0331,1264329.0,5007063.0
FLG0111,1767719.0,5904822.0
FND0112,1624871.0,5432146.0
FSH0011,1761811.0,5914199.0
GFD0331,1760648.0,5432796.0
GLN0331,1753741.0,5880998.0
GLN0332,1753741.0,5880998.0
GOR0331,1284097.0,4885035.0
GRE0111,1883469.0,5825061.0
GYM0661,1453180.0,5298171.0
GYT0331,1804621.0,5445254.0
HAM0111,1802955.0,5816175.0
HAM0331,1802955.0,5816175.0
HAM0551,1802955.0,5816175.0
HAY0111,1766308.0,5442697.0
HAY0331,1766308.0,5442697.0
HBS0011,1761811.0,5914199.0
HEN0331,1744225.0,5921531.0
HEP0331,1747947.0,5916494.0
HER0111,1186500.0,4958200.0
HGH0011,1750950.0,5932751.0
HIN0331,1843079.0,5799496.0
HKK0661,1434859.0,5267773.0
HLY0331,1790105.0,5842869.0
HLY2201,1790105.0,5842869.0
HMB0111,1769812.0,5911645.0
HOB1101,1757070.0,5920500.0
HOR0331,1517691.0,5178085.0
HOR0661,1517691.0,5178085.0
HTI0331,1790575.0,5764052.0
HTI1101,1790575.0,5764052.0
HUI0331,1707053.0,5677677.0
HUL0111,1747953.0,5916477.0
HVN0331,1620404.0,5426289.0
HWA0331,1712537.0,5619536.0
HWA0332,1712537.0,5619536.0
HWA1101,1712537.0,5619536.0
HWA1102,1712537.0,5619536.0
HWB0331,1404029.0,4918978.0
INV0331,1245828.0,4852011.0
ISL0331,1560557.0,5179490.0
ISL0661,1560557.0,5179490.0
JEF0111,1765826.0,5908534.0
KAI0111,1570672.0,5196747.0
KAW0111,1926530.0,5779125.0
KAW0112,1926530.0,5779125.0
KAW0113,1926530.0,5779125.0
KAW1101,1926530.0,5779125.0
KBY0661,1527106.0,5188106.0
KBY0662,1527106.0,5188106.0
KCA0011,1761811.0,5914199.0
KCH0011,1802954.0,5816177.0
KCH0012,1802954.0,5816177.0
KCH0014,1802954.0,5816177.0
KDH0011,1802954.0,5816177.0
KFA0111,1753728.0,5913297.0
KIK0111,1589507.0,5386501.0
KIN0111,1852213.0,5760024.0
KIN0112,1852213.0,5760024.0
KIN0113,1852213.0,5760024.0
KIN0331,1852213.0,5760024.0
KIR0111,1771966.0,5899057.0
KMO0331,1879237.0,5818329.0
KMW0011,1748141.0,5426366.0
KNA0011,1753728.0,5913297.0
KNW0111,1757027.0,5442090.0
KOE1101,1673614.0,6082721.0
KPA1101,1698938.0,5634951.0
KPO1101,1823029.0,5799542.0
KPP0011,1824466.0,5537739.0
KPU0661,1830940.0,5880678.0
KRA0111,1753728.0,5913297.0
KTW0011,1747427.0,5431039.0
KUM0661,1452054.0,5278081.0
KWA0111,1749833.0,5431033.0
LEV0331,1242287.0,4849883.0
LFD1101,1847532.0,5775423.0
LFD1102,1847532.0,5775423.0
LMC0011,1747953.0,5916477.0
LTN0331,1823277.0,5523360.0
LTN2201,1823277.0,5523360.0
MAN2201,1153098.0,4943235.0
MAT1101,1934456.0,5774722.0
MCH0111,1544904.0,5373459.0
MEP0111,1844451.0,5743970.0
MEP0112,1844451.0,5743970.0
MEP0113,1844451.0,5743970.0
MGM0331,1833129.0,5511182.0
MHL0011,1749258.0,5427314.0
MHO0331,1807281.0,5505363.0
MKE1101,1715281.0,5672464.0
MLF0011,1750950.0,5932751.0
MLG0111,1760654.0,5437234.0
MLG0331,1760654.0,5437234.0
MMP0111,1368607.0,5093092.0
MMT0111,1368607.0,5093092.0
MNG0331,1762702.0,5907696.0
MNG1101,1762702.0,5907696.0
MNI0111,1711561.0,5683110.0
MPE1101,1709123.0,6041292.0
MSC0011,1404006.0,4918940.0
MST0331,1819717.0,5460481.0
MTG0111,1796326.0,5890987.0
MTI2201,1839802.0,5751482.0
MTM0331,1883456.0,5825059.0
MTN0331,1801212.0,5558153.0
MTO0331,1722370.0,6005584.0
MTR0331,1831800.0,5606723.0
MXQ0111,1761811.0,5914199.0
MXS0011,1567878.0,5179257.0
NAH0011,1747427.0,5431039.0
NAP2201,1876822.0,5721249.0
NAP2202,1876822.0,5721249.0
NAT0011,1876798.0,5717232.0
NMA0331,1242677.0,4861547.0
NPK0331,1807260.0,5662945.0
NPP0011,1747427.0,5431039.0
NPS0011,1747427.0,5431039.0
NSR0011,1748887.0,5429210.0
NSY0331,1371044.0,5009253.0
NTL0011,1567021.0,5184375.0
NTO0011,1747427.0,5431039.0
NWH0011,1802954.0,5816177.0
OAK0111,1818481.0,5805626.0
OAM0331,1436051.0,5007247.0
OCB0111,1245828.0,4852011.0
OHA2201,1362883.0,5094304.0
OHB2201,1369516.0,5090545.0
OHC2201,1375175.0,5086098.0
OHK2201,1869462.0,5744408.0
OKI2201,1887000.0,5730455.0
OKN0111,1803832.0,5633184.0
ONG0331,1789597.0,5709180.0
OPK0331,1679854.0,5639246.0
OPT0011,1747427.0,5431039.0
ORO1101,1486419.0,5375556.0
ORO1102,1486419.0,5375556.0
OTA0221,1765827.0,5908531.0
OTI0111,1482698.0,5256872.0
OWH0111,1891301.0,5774547.0
PAK0331,1769813.0,5911643.0
PAO1101,1825911.0,5829876.0
PAZ0111,1757325.0,5920810.0
PEN0221,1761826.0,5914172.0
PEN0251,1761826.0,5914172.0
PEN0331,1761826.0,5914172.0
PEN1101,1761826.0,5914172.0
PFB0011,1747427.0,5431039.0
PHS0011,1750007.0,5430939.0
PMH0011,1748652.0,5428573.0
PMK0011,1747427.0,5431039.0
PNI0331,1761118.0,5447293.0
POR0111,1771966.0,5899057.0
PPI2201,1864742.0,5719918.0
PPT0011,1866018.0,5721817.0
PPW0011,1757400.0,5921060.0
PRM0331,1769436.0,5467577.0
PSI0011,1748744.0,5427893.0
PSP0011,1757418.0,5920632.0
PTC0011,1748645.0,5428270.0
PVG0011,1748771.0,5428376.0
PZH0011,1757506.0,5920931.0
RDF0331,1928402.0,5615033.0
RFB0011,1757692.0,5920626.0
RFN1101,1504535.0,5340444.0
RFN1102,1504535.0,5340444.0
RFO0011,1757611.0,5920637.0
RNC0011,1758243.0,5927445.0
ROM0011,1761811.0,5914199.0
ROS0221,1753728.0,5913295.0
ROS1101,1753728.0,5913295.0
ROT0111,1882790.0,5772814.0
ROT0331,1882790.0,5772814.0
ROT1101,1882790.0,5772814.0
ROX1101,1312313.0,4957442.0
ROX2201,1312313.0,4957442.0
RPO2201,1845189.0,5662388.0
RSC0011,1761811.0,5914199.0
RTB0011,1761811.0,5914199.0
RYN0111,1767719.0,5904822.0
SBK0661,1567465.0,5202755.0
SDN0331,1406622.0,4915069.0
SFD0331,1713803.0,5645310.0
SFD2201,1713803.0,5645310.0
SML0111,1750950.0,5932751.0
SOH0011,1748141.0,5426366.0
SOU0331,1245828.0,4852011.0
STD0111,1245828.0,4852011.0
STG0111,1735902.0,5983374.0
STK0331,1620344.0,5426252.0
STK0661,1620344.0,5426252.0
STL0011,1750950.0,5932751.0
STU0111,1452515.0,5045101.0
SVL0331,1750533.0,5945568.0
SWN0251,1761583.0,5911312.0
SWN2201,1761583.0,5911312.0
SYL0113,1761811.0,5914199.0
TAK0331,1771966.0,5899054.0
TBE0011,1757800.0,5920890.0
TCA0011,1748644.0,5427417.0
TCD0011,1749518.0,5427380.0
TCL0011,1748725.0,5427804.0
TET0011,1748677.0,5427405.0
TFJ0011,1748630.0,5428150.0
TGA0111,1875930.0,5819779.0
TGA0331,1875930.0,5819779.0
TGC0011,1748662.0,5427905.0
TGT0011,1748816.0,5427879.0
THI2201,1864970.0,5721335.0
THS0011,1570845.0,5180167.0
TIM0111,1459005.0,5085215.0
TKA0111,1396471.0,5123459.0
TKA0331,1396471.0,5123459.0
TKB2201,1376922.0,5110445.0
TKM0011,1745512.0,5428196.0
TKR0331,1757035.0,5442088.0
TKU0331,1839960.0,5681601.0
TKU2201,1839960.0,5681601.0
TMI0331,1893974.0,5809246.0
TMK0331,1463597.0,5101870.0
TML0011,1748980.0,5427475.0
TMN0011,1801815.0,5692949.0
TMN0551,1801815.0,5692949.0
TMP0011,1556983.0,5180816.0
TMU0111,1803712.0,5791407.0
TNG0111,1821310.0,5628416.0
TNG0551,1821310.0,5628416.0
TOM0011,1884321.0,5825387.0
TOR0011,1749130.0,5427030.0
TPM0011,1749204.0,5427379.0
TPS0011,1575606.0,5180021.0
TQB0011,1748460.0,5426660.0
TQS0011,1757390.0,5920320.0
TQS0012,1757390.0,5920320.0
TQW0011,1749545.0,5427495.0
TRC0011,1754470.0,5913900.0
TRK0111,1877163.0,5781277.0
TRT0011,1749215.0,5426925.0
TSG0011,1768998.0,5900803.0
TSN0011,1757475.0,5920804.0
TTC0011,1748630.0,5426579.0
TTH0011,1563220.0,5178740.0
TTT0011,1748588.0,5427924.0
TUI1101,1960528.0,5696630.0
TVT0011,1312894.0,4950708.0
TWC2201,1835550.0,5529228.0
TWH0331,1789809.0,5821033.0
TWI2201,1247069.0,4830103.0
TWT0011,1830056.0,5529213.0
TWZ0331,1368606.0,5093090.0
UHT0331,1775871.0,5448078.0
URK0111,1480635.0,5197737.0
VGH0011,1756280.0,5920275.0
WAB0011,1750950.0,5932751.0
WAI0111,1968027.0,5783081.0
WAI0501,1968027.0,5783081.0
WCW0011,1802954.0,5816177.0
WCW0111,1802954.0,5816177.0
WDV0111,1842684.0,5533314.0
WDV1101,1842684.0,5533314.0
WEL0331,1735914.0,5983404.0
WFL0011,1767719.0,5904822.0
WGF0011,1750950.0,5932751.0
WGN0331,1781062.0,5576956.0
WHI0111,1934795.0,5633613.0
WHI2201,1934795.0,5633613.0
WHU0331,1836960.0,5838593.0
WIL0331,1747405.0,5431065.0
WIR0331,1767719.0,5904820.0
WKM0331,1844481.0,5743971.0
WKM2201,1844481.0,5743971.0
WKO0331,1845558.0,5855375.0
WNF0011,1758500.0,5917968.0
WPA2201,1834680.0,5758417.0
WPG0331,1404006.0,4918940.0
WPK0011,1769812.0,5911645.0
WPR0331,1580136.0,5233393.0
WPR0661,1580136.0,5233393.0
WPV0061,1366165.0,4912032.0
WPW0331,1894613.0,5575577.0
WQG0011,1760652.0,5437235.0
WRD0331,1755884.0,5928038.0
WRK0331,1870348.0,5720182.0
WRK2201,1870348.0,5720182.0
WRN0011,1567878.0,5179257.0
WRN0012,1567878.0,5179257.0
WRN0111,1567878.0,5179257.0
WSC0011,1750950.0,5932751.0
WSL0111,1753728.0,5913297.0
WTK0111,1396285.0,5048037.0
WTK0331,1396285.0,5048037.0
WTS0011,1761811.0,5914199.0
WTU0331,1933251.0,5608740.0
WVY0111,1740109.0,5598256.0
WVY1101,1740109.0,5598256.0
WWC0011,1747953.0,5916477.0
WWD1102,1739027.0,5427096.0
WWD1103,1739027.0,5427096.0
AAL0331,1762701.0,5907699.0
ADD0111,1567878.0,5179255.0
ADD0661,1567878.0,5179255.0
AHA0111,1436219.0,5271631.0
ANA0111,1830160.0,5769602.0
AOT0111,1757027.0,5442090.0
ASB0331,1503869.0,5133912.0
ATU1101,1476031.0,5311880.0
BAN0111,1242648.0,4853732.0
BEN0162,1377144.0,5061473.0
BEN0163,1377144.0,5061473.0
BFT0111,1567021.0,5184375.0
BRY0111,1575606.0,5180019.0
CBE0331,1494059.0,5164162.0
CFM0011,1823275.0,5523361.0
COB0661,1577544.0,5451620.0
CST0111,1694035.0,5673649.0
CWL0111,1800784.0,5819432.0
DAR0111,1679284.0,6023139.0
EDA0011,1748141.0,5426366.0
ELD0111,1843154.0,5810372.0
EQV0011,1747427.0,5431039.0
ETA0011,1749088.0,5427056.0
FND0111,1624871.0,5432146.0
GID0221,1765827.0,5908531.0
GIS0111,2037535.0,5710716.0
GIS0501,2037535.0,5710716.0
HPD0331,1750950.0,5932751.0
HWB0332,1404029.0,4918978.0
HWB1101,1404029.0,4918978.0
KCH0013,1802954.0,5816177.0
KDA0011,1802954.0,5816177.0
KEN0331,1718621.0,6048220.0
KKA0331,1655000.0,5305578.0
KOE0331,1673614.0,6082721.0
KOW0011,1750007.0,5430939.0
KPC0011,1567878.0,5179257.0
KSA0011,1757568.0,5919940.0
KTA0331,1630637.0,6113469.0
LYN0111,1867251.0,5828437.0
MAT1102,1934456.0,5774722.0
MDN0141,1732424.0,6028826.0
MDN0142,1732424.0,6028826.0
MDN1101,1732424.0,6028826.0
MER0331,1783295.0,5868193.0
MHI0111,1777529.0,5882323.0
MLN0661,1565069.0,5179028.0
MLN0664,1565069.0,5179028.0
MOT0111,1598341.0,5445956.0
MPE0331,1709123.0,6041292.0
MPI0331,1586766.0,5476730.0
MPI0661,1586766.0,5476730.0
MRA0111,1690017.0,5675512.0
MRR0111,1845921.0,5729501.0
MTI0111,1839802.0,5751482.0
MTM0111,1883456.0,5825059.0
NCP0011,1754469.0,5444513.0
NPL0331,1688836.0,5676251.0
NPL1101,1688836.0,5676251.0
NPL2201,1688836.0,5676251.0
OKI0111,1887000.0,5730455.0
OTA1101,1765827.0,5908531.0
OTA1102,1765827.0,5908531.0
OTA2202,1765827.0,5908531.0
PAL0331,1419249.0,4960492.0
PAP0111,1567021.0,5184374.0
PAP0661,1567021.0,5184374.0
PAW0111,1870346.0,5720184.0
PDH0011,1748845.0,5428242.0
PFT0011,1757373.0,5920412.0
PHB0011,1750007.0,5430939.0
POR0221,1771966.0,5899057.0
RFT0111,1504536.0,5340444.0
ROB1101,1484536.0,5375401.0
RPE0331,1767719.0,5904820.0
SBK0331,1567465.0,5202755.0
SHT0111,1265546.0,5006907.0
SHT0112,1265546.0,5006907.0
SHV0011,1761811.0,5914199.0
SPN0331,1555630.0,5168208.0
SPN0661,1555630.0,5168208.0
SPO0011,1756390.0,5921200.0
STR0111,1760611.0,5432763.0
SVA0011,1751607.0,5918901.0
SVW0111,1757027.0,5442090.0
SYL0111,1761811.0,5914199.0
SYL0112,1761811.0,5914199.0
TKH0111,2012932.0,5812371.0
TMU1101,1803712.0,5791407.0
TOB0501,2065681.0,5767157.0
TOM0111,1884321.0,5825387.0
TOT0011,1757425.0,5920670.0
TUI0111,1960528.0,5696630.0
VST0221,1763400.0,5911524.0
WDT0011,1761811.0,5914199.0
WES0331,1789670.0,5840123.0
WGA0111,1560557.0,5179492.0
WGT0011,1743610.0,5923650.0
WHT0011,1777444.0,5910380.0
WMA0331,1766229.0,5898669.0
WMG0331,1496622.0,5380775.0
WPR0011,1580136.0,5233393.0
WPT0111,1476012.0,5376678.0
WRA0111,1981648.0,5674331.0
WRA0501,1981648.0,5674331.0
WTN0111,1237336.0,4879291.0
WTN0661,1237336.0,4879291.0
WWK0111,1870346.0,5720184.0
